date,transport_type,ridership,year
2021-05-23,ferry,22732.0,2021
2021-05-24,ferry,25996.0,2021
2021-05-25,ferry,27963.0,2021
2021-05-26,ferry,26575.0,2021
2021-05-27,ferry,28538.0,2021
2021-05-28,ferry,26310.0,2021
2021-05-29,ferry,26271.0,2021
2021-05-30,ferry,19106.0,2021
2021-05-31,ferry,14794.0,2021
2021-06-01,ferry,28460.0,2021
2021-06-02,ferry,28233.0,2021
2021-06-03,ferry,25200.0,2021
2021-06-04,ferry,26847.0,2021
2021-06-05,ferry,30618.0,2021
2021-06-06,ferry,23694.0,2021
2021-06-07,ferry,29161.0,2021
2021-06-08,ferry,27565.0,2021
2021-06-09,ferry,28777.0,2021
2021-06-10,ferry,31575.0,2021
2021-06-11,ferry,30763.0,2021
2021-06-12,ferry,29131.0,2021
2021-06-13,ferry,24874.0,2021
2021-06-14,ferry,27818.0,2021
2021-06-15,ferry,31242.0,2021
2021-06-16,ferry,31593.0,2021
2021-06-17,ferry,32235.0,2021
2021-06-18,ferry,34648.0,2021
2021-06-19,ferry,29120.0,2021
2021-06-20,ferry,25422.0,2021
2021-06-21,ferry,31420.0,2021
2021-06-22,ferry,27497.0,2021
2021-06-23,ferry,33846.0,2021
2021-06-24,ferry,33051.0,2021
2021-06-25,ferry,35072.0,2021
2021-06-26,ferry,30125.0,2021
2021-06-27,ferry,28407.0,2021
2021-06-28,ferry,32412.0,2021
2021-06-29,ferry,31310.0,2021
2021-06-30,ferry,30914.0,2021
2021-07-01,ferry,28437.0,2021
2021-07-02,ferry,31424.0,2021
2021-07-03,ferry,26052.0,2021
2021-07-04,ferry,34445.0,2021
2021-07-05,ferry,32905.0,2021
2021-07-06,ferry,33155.0,2021
2021-07-07,ferry,33574.0,2021
2021-07-08,ferry,30467.0,2021
2021-07-09,ferry,30473.0,2021
2021-07-10,ferry,31853.0,2021
2021-07-11,ferry,25736.0,2021
2021-07-12,ferry,30572.0,2021
2021-07-13,ferry,33290.0,2021
2021-07-14,ferry,32809.0,2021
2021-07-15,ferry,35842.0,2021
2021-07-16,ferry,36008.0,2021
2021-07-17,ferry,27806.0,2021
2021-07-18,ferry,26988.0,2021
2021-07-19,ferry,33672.0,2021
2021-07-20,ferry,34073.0,2021
2021-07-21,ferry,32055.0,2021
2021-07-22,ferry,36993.0,2021
2021-07-23,ferry,36688.0,2021
2021-07-24,ferry,35159.0,2021
2021-07-25,ferry,26624.0,2021
2021-07-26,ferry,34552.0,2021
2021-07-27,ferry,34956.0,2021
2021-07-28,ferry,34626.0,2021
2021-07-29,ferry,29826.0,2021
2021-07-30,ferry,36510.0,2021
2021-07-31,ferry,34863.0,2021
2021-08-01,ferry,24819.0,2021
2021-08-02,ferry,34506.0,2021
2021-08-03,ferry,34699.0,2021
2021-08-04,ferry,33404.0,2021
2021-08-05,ferry,34424.0,2021
2021-08-06,ferry,34840.0,2021
2021-08-07,ferry,31851.0,2021
2021-08-08,ferry,23343.0,2021
2021-08-09,ferry,33232.0,2021
2021-08-10,ferry,31841.0,2021
2021-08-11,ferry,32612.0,2021
2021-08-12,ferry,31256.0,2021
2021-08-13,ferry,32456.0,2021
2021-08-14,ferry,27793.0,2021
2021-08-15,ferry,27955.0,2021
2021-08-16,ferry,33116.0,2021
2021-08-17,ferry,33353.0,2021
2021-08-18,ferry,31719.0,2021
2021-08-19,ferry,31575.0,2021
2021-08-20,ferry,32850.0,2021
2021-08-21,ferry,27201.0,2021
2021-08-22,ferry,8547.0,2021
2021-08-23,ferry,25674.0,2021
2021-08-24,ferry,33276.0,2021
2021-08-25,ferry,32281.0,2021
2021-08-26,ferry,31734.0,2021
2021-08-27,ferry,30038.0,2021
2021-08-28,ferry,24658.0,2021
2021-08-29,ferry,33639.0,2021
2021-08-30,ferry,29545.0,2021
2021-08-31,ferry,31401.0,2021
2021-09-01,ferry,24346.0,2021
2021-09-02,ferry,21725.0,2021
2021-09-03,ferry,31933.0,2021
2021-09-04,ferry,32003.0,2021
2021-09-05,ferry,25975.0,2021
2021-09-06,ferry,27221.0,2021
2021-09-07,ferry,31425.0,2021
2021-09-08,ferry,30686.0,2021
2021-09-09,ferry,27921.0,2021
2021-09-10,ferry,35576.0,2021
2021-09-11,ferry,32651.0,2021
2021-09-12,ferry,25135.0,2021
2021-09-13,ferry,33494.0,2021
2021-09-14,ferry,34430.0,2021
2021-09-15,ferry,34508.0,2021
2021-09-16,ferry,31382.0,2021
2021-09-17,ferry,34115.0,2021
2021-09-18,ferry,32796.0,2021
2021-09-19,ferry,28556.0,2021
2021-09-20,ferry,34890.0,2021
2021-09-21,ferry,34817.0,2021
2021-09-22,ferry,34276.0,2021
2021-09-23,ferry,33226.0,2021
2021-09-24,ferry,36233.0,2021
2021-09-25,ferry,32691.0,2021
2021-09-26,ferry,30629.0,2021
2021-09-27,ferry,34914.0,2021
2021-09-28,ferry,31541.0,2021
2021-09-29,ferry,34156.0,2021
2021-09-30,ferry,34313.0,2021
2021-10-01,ferry,36349.0,2021
2021-10-02,ferry,31132.0,2021
2021-10-03,ferry,26657.0,2021
2021-10-04,ferry,32309.0,2021
2021-10-05,ferry,34088.0,2021
2021-10-06,ferry,34407.0,2021
2021-10-07,ferry,36435.0,2021
2021-10-08,ferry,37636.0,2021
2021-10-09,ferry,31352.0,2021
2021-10-10,ferry,21940.0,2021
2021-10-11,ferry,32303.0,2021
